condition,threshold,games,accuracy
Delta,5,77878,0.5279
Delta,10,52765,0.5359
Delta,15,32950,0.5414
Delta,20,19141,0.5508
Delta,25,10510,0.5598
Delta,30,5424,0.5614
Delta,35,2644,0.5643
Delta,40,1237,0.5441
Delta,45,601,0.5607
Delta,50,267,0.5506
KDA,1,45427,0.5026
KDA,2,11960,0.5098
KDA,3,1825,0.4871
KDA,4,134,0.4925
KDA,5,4,0.5000
KDA,6,0,0.0000
D2PT,500,68292,0.5006
D2PT,1000,66530,0.5008
D2PT,1500,66520,0.5008
D2PT,2000,66511,0.5008
D2PT,2500,65096,0.5008
D2PT,3000,37873,0.5044
D2PT,3500,16015,0.5015
D2PT,4000,15351,0.5000
D2PT,4500,15351,0.5000
D2PT,5000,15351,0.5000
NW10,200,83454,0.5090
NW10,400,63848,0.5075
NW10,600,49039,0.5047
NW10,800,38580,0.5032
NW10,1000,31474,0.5016
NW10,1200,26355,0.5014
NW10,1400,22258,0.5021
NW10,1600,18808,0.5008
NW10,1800,15750,0.5001
NW10,2000,13349,0.4999
NW10,2200,11431,0.4994
NW10,2400,9990,0.4999
NW10,2600,8872,0.4984
NW10,2800,7963,0.4965
NW10,3000,7278,0.4956
NW10,3200,6746,0.4936
NW10,3400,6202,0.4900
NW10,3600,5576,0.4862
NW10,3800,4775,0.4938
NW10,4000,3849,0.4936
NW10,4200,2856,0.4958
NW10,4400,2007,0.5032
NW10,4600,1351,0.5011
NW10,4800,928,0.4881
NW10,5000,666,0.4805
NW20,500,88116,0.5099
NW20,1000,71769,0.5095
NW20,1500,57771,0.5083
NW20,2000,46105,0.5078
NW20,2500,36966,0.5091
NW20,3000,29832,0.5066
NW20,3500,24562,0.5068
NW20,4000,20356,0.5042
NW20,4500,17066,0.5036
NW20,5000,14439,0.5017
NW20,5500,12485,0.5025
NW20,6000,10819,0.5018
NW20,6500,9531,0.5019
NW20,7000,8435,0.4996
NW20,7500,7504,0.4980
NW20,8000,6588,0.4970
NW20,8500,5695,0.4950
NW20,9000,4850,0.4915
NW20,9500,4019,0.4884
NW20,10000,3245,0.4897
LaneAdv,2,88376,0.5058
LaneAdv,4,71659,0.5066
LaneAdv,6,56956,0.5062
LaneAdv,8,44284,0.5065
LaneAdv,10,34303,0.5070
LaneAdv,12,26279,0.5074
LaneAdv,14,20305,0.5061
LaneAdv,16,15964,0.5053
LaneAdv,18,12856,0.5033
LaneAdv,20,10449,0.5066
