combination,games,radiant_win_rate,dire_win_rate
5+ 0- vs 5+ 0-,0,0.0000,0.0000
5+ 0- vs 4+ 1-,17,0.4706,0.5294
5+ 0- vs 3+ 2-,379,0.5567,0.4433
5+ 0- vs 2+ 3-,1478,0.5271,0.4729
5+ 0- vs 1+ 4-,1862,0.5516,0.4484
5+ 0- vs 0+ 5-,711,0.5499,0.4501
4+ 1- vs 5+ 0-,22,0.3636,0.6364
4+ 1- vs 4+ 1-,668,0.5165,0.4835
4+ 1- vs 3+ 2-,3846,0.5164,0.4836
4+ 1- vs 2+ 3-,8007,0.5327,0.4673
4+ 1- vs 1+ 4-,5623,0.5374,0.4626
4+ 1- vs 0+ 5-,1195,0.5632,0.4368
3+ 2- vs 5+ 0-,400,0.5025,0.4975
3+ 2- vs 4+ 1-,3930,0.4990,0.5010
3+ 2- vs 3+ 2-,12076,0.5122,0.4878
3+ 2- vs 2+ 3-,12739,0.5234,0.4766
3+ 2- vs 1+ 4-,4944,0.5328,0.4672
3+ 2- vs 0+ 5-,530,0.5245,0.4755
2+ 3- vs 5+ 0-,1368,0.4510,0.5490
2+ 3- vs 4+ 1-,8037,0.4727,0.5273
2+ 3- vs 3+ 2-,13062,0.4804,0.5196
2+ 3- vs 2+ 3-,7247,0.5095,0.4905
2+ 3- vs 1+ 4-,1317,0.5209,0.4791
2+ 3- vs 0+ 5-,59,0.5424,0.4576
1+ 4- vs 5+ 0-,1910,0.4387,0.5613
1+ 4- vs 4+ 1-,5757,0.4587,0.5413
1+ 4- vs 3+ 2-,4775,0.4752,0.5248
1+ 4- vs 2+ 3-,1324,0.5053,0.4947
1+ 4- vs 1+ 4-,107,0.5421,0.4579
1+ 4- vs 0+ 5-,1,1.0000,0.0000
0+ 5- vs 5+ 0-,788,0.4353,0.5647
0+ 5- vs 4+ 1-,1187,0.4524,0.5476
0+ 5- vs 3+ 2-,499,0.4729,0.5271
0+ 5- vs 2+ 3-,61,0.3279,0.6721
0+ 5- vs 1+ 4-,2,0.5000,0.5000
0+ 5- vs 0+ 5-,0,0.0000,0.0000
